episode, reward, reward_tard, reward_setup, SSPT, ATCS, MDD, COVERT,Avg_tardy,DDT,PT_var
209,-72.44,-79.69,-65.20,14,76,8,2,0.43,1.2,0.2
210,-77.80,-92.61,-63.00,4,83,7,6,3.13,1.1,0.3
211,-76.31,-96.41,-56.20,8,78,10,4,3.49,1.0,0.3
212,-74.20,-98.39,-50.00,2,93,1,4,10.54,1.0,0.1
213,-79.93,-99.05,-60.80,11,81,8,0,3.19,0.8,0.3
214,-72.28,-88.36,-56.20,6,90,1,3,7.52,1.2,0.3
215,-68.96,-88.92,-49.00,3,96,1,0,6.22,1.2,0.2
216,-74.58,-95.15,-54.00,6,92,1,1,5.40,1.1,0.1
217,-75.99,-97.98,-54.00,2,94,2,2,6.47,1.0,0.2
218,-73.78,-91.17,-56.40,5,92,2,1,4.58,1.1,0.4
219,-76.27,-99.94,-52.60,4,92,3,1,5.61,0.9,0.2
220,-72.95,-90.49,-55.40,5,87,4,4,7.20,1.1,0.4
221,-68.89,-90.77,-47.00,2,97,0,1,9.10,1.1,0.3
222,-72.17,-91.75,-52.60,2,95,3,0,6.42,1.1,0.3
223,-74.45,-86.71,-62.20,7,85,5,3,1.58,1.2,0.4
224,-69.73,-82.87,-56.60,4,92,2,2,4.42,1.2,0.4
225,-75.05,-97.71,-52.40,2,97,0,1,5.98,1.1,0.1
226,-72.88,-94.76,-51.00,3,96,1,0,6.87,1.2,0.2
227,-76.55,-98.49,-54.60,7,88,3,2,5.50,1.0,0.2
228,-71.32,-85.43,-57.20,4,92,1,3,3.26,1.1,0.3
229,-77.46,-94.73,-60.20,4,92,1,3,2.70,1.1,0.4
230,-78.31,-97.02,-59.60,7,86,5,2,3.46,0.9,0.4
231,-81.43,-99.86,-63.00,5,86,8,1,1.49,0.8,0.2
232,-74.16,-99.72,-48.60,3,95,2,0,15.00,0.9,0.1
233,-72.93,-92.06,-53.80,2,94,4,0,8.85,1.2,0.4
234,-75.45,-99.70,-51.20,2,96,2,0,8.07,0.8,0.3
235,-75.29,-99.77,-50.80,3,97,0,0,8.88,0.9,0.1
236,-75.34,-99.68,-51.00,1,98,1,0,5.26,0.9,0.1
237,-73.63,-99.47,-47.80,0,97,3,0,9.54,0.9,0.2
238,-76.54,-98.08,-55.00,7,88,3,2,5.59,0.9,0.3
239,-72.44,-97.27,-47.60,1,95,3,1,6.90,1.0,0.2
240,-75.90,-98.40,-53.40,5,91,3,1,5.29,1.0,0.3
241,-74.40,-99.19,-49.60,2,96,1,1,7.48,1.0,0.2
242,-76.76,-95.12,-58.40,6,92,0,2,2.57,0.9,0.4
243,-77.39,-95.19,-59.60,6,92,1,1,2.59,1.1,0.1
244,-76.88,-99.95,-53.80,5,94,0,1,8.68,0.9,0.1
245,-77.58,-99.55,-55.60,2,96,1,1,6.54,0.9,0.1
246,-73.90,-99.60,-48.20,1,98,1,0,10.79,0.9,0.3
247,-70.08,-89.96,-50.20,4,94,1,1,4.41,1.1,0.5
248,-72.39,-94.19,-50.60,2,96,2,0,9.25,1.1,0.3
249,-72.68,-89.36,-56.00,6,91,3,0,2.81,1.1,0.3
250,-73.82,-96.04,-51.60,5,94,1,0,4.61,0.9,0.4
251,-74.42,-99.85,-49.00,3,96,0,1,5.74,0.9,0.3
252,-74.00,-95.80,-52.20,9,90,0,1,5.14,1.1,0.2
253,-71.76,-91.13,-52.40,2,91,5,2,3.10,1.0,0.5
254,-77.34,-95.08,-59.60,6,89,3,2,2.00,1.1,0.2
