episode, reward, reward_tard, reward_setup, SSPT, ATCS, MDD, COVERT,Average tardy jobs
43,-76.11,-77.62,-74.60,26,27,21,26,0.39
44,-84.05,-95.50,-72.60,26,26,30,18,0.43
45,-85.07,-95.15,-75.00,17,20,33,30,0.65
46,-80.32,-87.24,-73.40,21,29,29,21,0.39
47,-77.55,-80.90,-74.20,26,21,31,22,1.42
48,-84.41,-96.42,-72.40,22,20,29,29,1.87
49,-79.20,-81.60,-76.80,13,20,40,27,0.28
50,-87.83,-97.87,-77.80,22,25,21,32,0.28
51,-85.59,-96.58,-74.60,24,16,36,24,3.97
52,-81.04,-82.48,-79.60,21,20,31,28,0.87
53,-77.71,-79.02,-76.40,19,28,28,25,0.38
54,-79.89,-83.97,-75.80,22,20,30,28,0.60
55,-86.99,-99.18,-74.80,27,21,26,26,0.16
56,-82.38,-87.96,-76.80,18,33,28,21,0.56
57,-82.63,-93.46,-71.80,32,15,26,27,0.39
58,-84.21,-91.22,-77.20,24,25,30,21,0.82
59,-83.25,-89.89,-76.60,21,29,20,30,0.52
60,-86.82,-95.85,-77.80,18,23,31,28,1.80
61,-88.49,-98.37,-78.60,18,17,35,30,0.92
62,-86.16,-96.72,-75.60,29,11,33,27,2.00
63,-81.84,-91.09,-72.60,17,26,34,23,0.61
64,-84.72,-95.05,-74.40,30,15,27,28,0.75
65,-81.28,-84.95,-77.60,19,22,36,23,0.03
66,-82.80,-89.01,-76.60,21,20,31,28,1.46
67,-83.41,-90.03,-76.80,25,25,29,21,0.11
68,-85.77,-94.74,-76.80,18,17,34,31,2.31
69,-87.86,-99.51,-76.20,28,13,25,34,2.43
70,-74.92,-75.84,-74.00,24,20,29,27,0.32
71,-83.63,-89.65,-77.60,22,16,36,26,0.16
72,-71.38,-68.95,-73.80,16,21,29,34,0.47
73,-74.92,-78.63,-71.20,19,12,29,40,0.52
74,-85.12,-94.23,-76.00,16,19,31,34,1.25
75,-81.41,-87.41,-75.40,16,21,39,24,0.33
76,-85.91,-97.83,-74.00,23,18,37,22,2.59
77,-75.83,-79.26,-72.40,21,19,34,26,0.16
78,-73.21,-73.03,-73.40,13,20,34,33,0.88
79,-84.69,-92.38,-77.00,15,13,38,34,3.82
80,-78.58,-83.15,-74.00,14,18,38,30,0.77
81,-81.54,-89.88,-73.20,22,18,38,22,0.42
82,-78.64,-79.68,-77.60,14,20,27,39,0.38
83,-86.98,-99.36,-74.60,33,13,26,28,0.40
84,-84.12,-96.43,-71.80,19,13,25,43,2.24
85,-76.02,-75.24,-76.80,12,19,36,33,0.15
86,-83.14,-94.07,-72.20,9,21,25,45,5.89
87,-74.37,-75.13,-73.60,24,13,37,26,0.84
88,-86.50,-99.81,-73.20,15,22,22,41,1.97
89,-83.43,-93.65,-73.20,15,14,31,40,0.08
90,-89.46,-98.92,-80.00,15,17,26,42,0.43
91,-75.67,-75.75,-75.60,14,18,29,39,0.38
92,-86.28,-92.75,-79.80,16,12,39,33,1.34
93,-80.30,-90.99,-69.60,18,17,22,43,0.13
94,-84.84,-94.67,-75.00,14,16,33,37,0.22
95,-84.51,-92.42,-76.60,21,13,31,35,0.73
96,-84.13,-94.07,-74.20,10,17,29,44,1.14
97,-79.51,-83.43,-75.60,24,15,26,35,0.05
98,-85.50,-93.20,-77.80,25,14,21,40,0.03
99,-86.56,-99.71,-73.40,21,9,22,48,3.37
100,-86.61,-98.63,-74.60,17,18,25,40,1.54
101,-85.34,-93.67,-77.00,20,16,26,38,0.68
102,-84.36,-92.11,-76.60,14,18,37,31,0.23
103,-88.13,-98.66,-77.60,22,14,28,36,0.23
104,-86.09,-97.97,-74.20,13,18,26,43,2.52
105,-78.16,-81.52,-74.80,10,16,25,49,2.29
106,-73.35,-70.09,-76.60,13,20,39,28,0.57
107,-86.48,-98.96,-74.00,14,16,29,41,2.54
108,-85.03,-98.27,-71.80,13,15,30,42,0.97
109,-81.85,-90.51,-73.20,15,16,30,39,1.15
110,-87.52,-94.45,-80.60,15,11,28,46,1.64
111,-78.25,-81.50,-75.00,10,10,35,45,2.13
112,-77.96,-83.91,-72.00,4,7,18,71,4.76
113,-85.91,-96.42,-75.40,11,14,27,48,3.12
114,-82.70,-87.61,-77.80,16,6,17,61,2.45
115,-78.85,-85.70,-72.00,12,10,39,39,0.11
116,-87.40,-94.60,-80.20,14,15,28,43,0.51
117,-76.30,-74.00,-78.60,17,5,24,54,0.74
118,-83.11,-90.41,-75.80,5,8,27,60,0.67
119,-86.67,-98.94,-74.40,10,8,29,53,0.69
120,-76.85,-74.29,-79.40,14,5,31,50,1.00
121,-89.03,-99.06,-79.00,17,12,26,45,0.81
122,-81.04,-83.69,-78.40,12,9,32,47,0.28
123,-90.72,-99.83,-81.60,12,14,36,38,1.20
124,-85.94,-92.68,-79.20,7,6,41,46,1.09
125,-85.97,-93.93,-78.00,12,9,36,43,1.58
126,-77.01,-72.83,-81.20,6,7,44,43,0.94
127,-86.30,-97.40,-75.20,2,5,45,48,2.73
128,-88.20,-99.00,-77.40,8,10,46,36,1.34
129,-76.82,-73.64,-80.00,9,14,35,42,0.02
130,-83.47,-89.54,-77.40,9,11,52,28,1.41
131,-88.20,-96.99,-79.40,11,5,41,43,0.47
132,-88.45,-94.10,-82.80,13,9,47,31,0.38
133,-76.57,-74.74,-78.40,5,8,46,41,0.82
134,-79.41,-85.82,-73.00,9,10,43,38,0.28
135,-89.08,-97.56,-80.60,8,4,45,43,2.59
136,-78.13,-78.27,-78.00,11,5,39,45,0.94
137,-85.53,-92.25,-78.80,2,3,48,47,2.17
138,-87.54,-94.68,-80.40,5,7,42,46,2.14
139,-85.86,-95.92,-75.80,4,8,35,53,1.73
140,-82.45,-92.29,-72.60,4,8,31,57,1.59
141,-83.68,-90.15,-77.20,2,6,41,51,1.93
142,-82.54,-85.28,-79.80,7,4,37,52,2.10
143,-78.09,-79.17,-77.00,4,7,35,54,0.48
144,-82.84,-87.49,-78.20,4,3,35,58,0.61
145,-90.85,-99.71,-82.00,7,11,34,48,0.78
146,-85.97,-97.34,-74.60,5,6,33,56,1.82
147,-79.55,-84.91,-74.20,7,8,31,54,0.39
148,-89.68,-99.76,-79.60,7,5,35,53,0.54
149,-88.13,-99.87,-76.40,5,7,32,56,1.28
150,-85.73,-93.66,-77.80,4,12,40,44,0.18
151,-85.92,-96.84,-75.00,1,5,20,74,2.79
152,-70.72,-66.44,-75.00,10,9,23,58,0.01
153,-86.11,-95.42,-76.80,4,6,25,65,2.48
154,-87.41,-92.82,-82.00,0,3,25,72,3.48
155,-79.11,-81.02,-77.20,6,14,34,46,0.39
156,-86.30,-94.01,-78.60,4,8,37,51,1.08
157,-85.41,-94.02,-76.80,8,11,28,53,0.10
158,-82.64,-93.68,-71.60,6,8,40,46,1.33
159,-89.21,-99.23,-79.20,4,9,42,45,0.30
160,-89.38,-97.16,-81.60,3,4,38,55,2.98
161,-74.39,-71.77,-77.00,5,5,33,57,3.60
162,-83.29,-84.78,-81.80,2,4,40,54,1.14
163,-86.36,-94.32,-78.40,2,2,18,78,5.81
164,-85.01,-91.21,-78.80,4,12,44,40,0.47
165,-90.14,-99.09,-81.20,1,6,48,45,0.68
166,-81.26,-79.31,-83.20,2,6,36,56,1.77
167,-83.19,-89.19,-77.20,4,2,33,61,2.75
168,-85.03,-97.85,-72.20,3,11,26,60,0.95
169,-82.53,-90.06,-75.00,4,4,35,57,0.12
170,-81.40,-88.21,-74.60,3,3,28,66,2.31
171,-79.22,-77.25,-81.20,4,6,32,58,0.41
172,-91.25,-99.91,-82.60,4,4,19,73,3.42
173,-86.94,-98.48,-75.40,8,8,40,44,0.29
174,-87.41,-95.41,-79.40,9,7,36,48,0.80
175,-85.13,-98.45,-71.80,5,9,29,57,3.41
176,-81.05,-89.31,-72.80,5,5,52,38,0.55
177,-88.29,-99.79,-76.80,5,6,39,50,0.94
178,-80.38,-84.36,-76.40,3,12,36,49,1.45
179,-89.39,-98.38,-80.40,7,6,37,50,1.42
180,-86.10,-92.61,-79.60,4,8,25,63,2.78
181,-82.44,-85.08,-79.80,3,5,21,71,2.73
182,-86.15,-98.70,-73.60,9,9,32,50,0.10
183,-86.25,-85.91,-86.60,6,5,44,45,0.78
184,-86.48,-93.36,-79.60,7,10,42,41,0.14
185,-85.18,-95.56,-74.80,8,5,40,47,0.99
186,-86.93,-96.26,-77.60,6,6,32,56,1.34
187,-88.07,-96.34,-79.80,4,7,34,55,1.89
188,-88.86,-95.11,-82.60,3,1,24,72,6.17
189,-85.41,-87.02,-83.80,6,5,44,45,0.79
190,-80.86,-88.92,-72.80,5,6,35,54,1.00
191,-81.40,-89.00,-73.80,12,17,31,40,0.17
192,-86.31,-97.22,-75.40,6,8,27,59,1.17
193,-90.06,-97.71,-82.40,9,14,34,43,0.19
194,-80.70,-87.60,-73.80,9,15,34,42,1.06
195,-87.68,-96.55,-78.80,3,5,37,55,1.41
196,-84.00,-86.99,-81.00,6,10,36,48,0.16
197,-86.45,-93.29,-79.60,1,6,29,64,1.40
198,-84.09,-88.39,-79.80,9,8,33,50,0.29
199,-84.39,-83.57,-85.20,6,4,28,62,1.47
200,-86.52,-92.03,-81.00,3,9,18,70,0.93
201,-80.81,-85.21,-76.40,12,9,23,56,0.71
202,-88.17,-94.54,-81.80,8,4,35,53,0.52
203,-82.69,-90.18,-75.20,2,7,16,75,2.14
204,-78.35,-82.31,-74.40,3,7,36,54,0.11
205,-84.90,-92.39,-77.40,6,12,25,57,1.20
206,-88.65,-95.89,-81.40,6,7,21,66,0.65
207,-75.48,-71.76,-79.20,7,11,22,60,0.04
208,-85.81,-95.43,-76.20,2,5,25,68,0.65
209,-76.69,-74.37,-79.00,6,5,29,60,0.66
210,-79.51,-81.02,-78.00,6,10,26,58,0.25
211,-82.36,-85.12,-79.60,2,4,20,74,2.90
212,-85.39,-97.19,-73.60,6,9,31,54,0.36
213,-66.56,-60.53,-72.60,1,7,29,63,0.07
214,-89.04,-96.67,-81.40,7,5,22,66,0.10
215,-84.86,-95.52,-74.20,2,3,19,76,2.30
216,-86.48,-92.55,-80.40,5,0,34,61,0.19
217,-84.17,-92.94,-75.40,2,1,28,69,1.37
218,-87.28,-93.37,-81.20,3,2,14,81,4.20
219,-91.00,-96.80,-85.20,3,3,21,73,2.34
220,-77.03,-79.46,-74.60,4,4,24,68,0.88
221,-90.88,-99.76,-82.00,3,8,22,67,1.23
222,-89.98,-99.95,-80.00,1,0,12,87,6.15
223,-87.91,-99.02,-76.80,2,1,26,71,3.04
224,-73.06,-66.72,-79.40,1,2,28,69,0.39
225,-84.17,-91.14,-77.20,0,3,18,79,4.15
226,-78.82,-80.45,-77.20,1,5,20,74,1.46
227,-85.62,-92.24,-79.00,0,6,24,70,1.35
228,-88.96,-97.52,-80.40,3,2,33,62,1.39
229,-76.81,-74.43,-79.20,2,7,34,57,0.14
230,-84.79,-91.99,-77.60,1,3,17,79,4.34
231,-82.13,-92.66,-71.60,2,3,25,70,1.22
232,-79.24,-78.08,-80.40,4,2,24,70,0.74
233,-88.13,-97.07,-79.20,1,3,30,66,0.52
234,-87.87,-95.13,-80.60,1,3,22,74,1.21
235,-93.28,-99.16,-87.40,0,0,13,87,4.64
236,-80.73,-84.26,-77.20,0,1,20,79,2.82
237,-87.01,-96.82,-77.20,3,0,20,77,1.56
238,-82.49,-81.98,-83.00,1,3,24,72,1.63
239,-85.21,-93.43,-77.00,4,3,29,64,1.03
240,-82.52,-86.63,-78.40,4,8,16,72,0.62
241,-90.15,-92.91,-87.40,3,2,24,71,0.59
242,-88.39,-91.59,-85.20,4,2,25,69,0.16
243,-80.18,-79.95,-80.40,0,2,11,87,3.82
244,-87.68,-94.76,-80.60,1,1,15,83,2.16
245,-88.69,-97.38,-80.00,1,1,8,90,4.13
246,-83.86,-86.72,-81.00,3,3,22,72,0.26
247,-83.99,-90.78,-77.20,1,4,19,76,0.13
248,-79.43,-79.85,-79.00,4,1,14,81,1.60
249,-83.98,-90.15,-77.80,2,2,21,75,0.04
250,-83.67,-90.35,-77.00,3,0,20,77,0.49
251,-85.05,-87.69,-82.40,3,1,17,79,0.50
252,-88.26,-99.33,-77.20,0,1,9,90,2.90
253,-86.17,-94.34,-78.00,1,1,11,87,2.29
254,-87.83,-92.46,-83.20,3,2,9,86,0.75
255,-80.92,-84.85,-77.00,4,5,13,78,0.49
256,-74.60,-76.99,-72.20,3,4,11,82,0.56
257,-87.02,-92.44,-81.60,3,4,11,82,1.00
258,-84.60,-94.19,-75.00,6,4,15,75,1.00
259,-78.32,-83.03,-73.60,4,6,19,71,0.35
260,-81.25,-87.51,-75.00,4,4,21,71,0.71
261,-83.23,-87.26,-79.20,4,2,19,75,0.31
262,-87.32,-94.84,-79.80,5,2,25,68,0.00
263,-80.59,-80.99,-80.20,9,3,15,73,0.06
264,-90.09,-98.19,-82.00,2,2,4,92,4.95
265,-89.39,-99.38,-79.40,3,2,7,88,2.90
266,-82.77,-87.73,-77.80,5,3,21,71,0.20
267,-78.00,-77.40,-78.60,3,5,12,80,0.87
268,-88.82,-99.04,-78.60,5,3,16,76,0.65
269,-78.17,-77.33,-79.00,6,4,16,74,0.11
270,-84.90,-96.20,-73.60,5,4,12,79,0.26
271,-87.37,-99.35,-75.40,3,4,13,80,1.14
272,-90.03,-98.85,-81.20,1,2,12,85,1.87
273,-91.08,-97.36,-84.80,2,2,6,90,4.62
274,-88.00,-95.81,-80.20,1,6,13,80,4.20
275,-77.89,-81.37,-74.40,7,6,20,67,0.35
276,-83.50,-91.60,-75.40,2,2,11,85,0.08
277,-86.96,-97.32,-76.60,2,1,19,78,1.13
278,-87.28,-99.56,-75.00,2,0,5,93,3.85
279,-85.68,-99.75,-71.60,1,1,7,91,2.98
280,-77.04,-81.08,-73.00,4,4,9,83,1.57
281,-85.68,-94.97,-76.40,1,3,8,88,1.84
282,-84.29,-88.99,-79.60,1,2,11,86,2.95
283,-76.02,-76.65,-75.40,4,3,13,80,0.29
284,-83.51,-90.42,-76.60,0,0,5,95,4.53
285,-88.19,-98.18,-78.20,4,0,11,85,0.97
286,-84.49,-91.78,-77.20,3,4,11,82,0.35
287,-90.21,-99.21,-81.20,3,0,6,91,1.34
288,-91.25,-98.51,-84.00,1,1,7,91,2.56
289,-79.51,-80.22,-78.80,7,2,14,77,0.65
290,-87.07,-92.94,-81.20,0,2,10,88,1.73
291,-85.94,-94.49,-77.40,3,1,6,90,1.84
292,-88.14,-99.28,-77.00,2,3,13,82,0.90
293,-83.93,-87.86,-80.00,1,1,13,85,0.05
294,-88.61,-96.22,-81.00,1,1,2,96,4.69
295,-84.97,-95.74,-74.20,3,1,17,79,0.81
296,-86.32,-91.84,-80.80,3,0,13,84,0.51
297,-83.91,-83.03,-84.80,6,2,18,74,0.08
298,-77.55,-78.91,-76.20,4,1,12,83,0.12
299,-85.90,-95.99,-75.80,2,4,7,87,3.80
300,-89.53,-99.86,-79.20,7,1,13,79,1.05
301,-88.48,-93.35,-83.60,4,3,16,77,0.89
302,-78.57,-83.74,-73.40,3,0,12,85,1.46
303,-84.70,-92.80,-76.60,5,2,9,84,1.03
304,-71.90,-66.60,-77.20,3,3,18,76,0.33
305,-88.84,-97.87,-79.80,1,2,11,86,1.48
306,-85.48,-94.76,-76.20,5,3,23,69,0.36
307,-73.50,-74.60,-72.40,4,1,18,77,0.16
308,-86.52,-91.44,-81.60,0,1,13,86,1.79
309,-81.06,-83.32,-78.80,3,1,21,75,1.15
310,-91.22,-99.84,-82.60,2,3,18,77,0.47
311,-88.77,-96.94,-80.60,0,5,13,82,1.59
312,-86.21,-90.02,-82.40,4,4,21,71,0.07
313,-88.89,-90.38,-87.40,1,4,16,79,0.77
314,-69.50,-57.00,-82.00,5,5,23,67,0.00
315,-86.01,-94.61,-77.40,0,2,13,85,2.41
316,-89.63,-96.47,-82.80,4,3,32,61,0.28
317,-80.40,-82.20,-78.60,4,0,36,60,0.06
318,-76.83,-78.66,-75.00,6,1,20,73,0.21
319,-87.61,-95.21,-80.00,2,1,18,79,1.53
320,-83.43,-90.07,-76.80,3,2,18,77,0.45
321,-87.76,-99.71,-75.80,1,0,15,84,0.49
322,-82.97,-87.53,-78.40,1,1,16,82,1.33
323,-80.23,-80.47,-80.00,1,1,22,76,0.30
324,-83.27,-90.94,-75.60,0,1,16,83,1.38
325,-80.40,-81.99,-78.80,1,2,19,78,0.83
326,-86.12,-95.24,-77.00,2,2,26,70,0.21
327,-88.81,-97.82,-79.80,2,2,15,81,0.34
328,-84.92,-92.45,-77.40,2,0,16,82,1.52
329,-87.15,-97.69,-76.60,2,1,14,83,0.92
330,-83.22,-85.84,-80.60,1,2,26,71,0.89
331,-83.86,-90.52,-77.20,4,2,27,67,0.28
332,-81.18,-84.95,-77.40,2,2,23,73,0.36
333,-87.63,-94.27,-81.00,1,0,20,79,2.86
334,-88.59,-99.78,-77.40,4,3,27,66,0.41
335,-86.19,-95.17,-77.20,2,1,30,67,0.47
336,-84.48,-91.17,-77.80,1,2,22,75,1.63
337,-87.50,-96.20,-78.80,4,0,23,73,1.29
338,-84.56,-96.32,-72.80,1,3,33,63,0.32
339,-86.21,-98.01,-74.40,2,0,25,73,0.59
340,-83.37,-87.74,-79.00,0,2,25,73,1.99
341,-76.88,-74.16,-79.60,1,2,22,75,0.49
342,-87.99,-92.78,-83.20,1,1,23,75,3.11
343,-87.92,-97.44,-78.40,2,0,25,73,0.64
344,-80.58,-82.76,-78.40,2,0,24,74,1.50
345,-87.83,-97.47,-78.20,0,3,22,75,2.44
346,-89.25,-99.49,-79.00,0,1,17,82,3.58
347,-80.37,-82.55,-78.20,1,0,31,68,0.17
348,-88.05,-94.29,-81.80,0,0,14,86,3.98
349,-88.37,-96.54,-80.20,2,0,19,79,1.21
350,-87.85,-99.70,-76.00,0,0,18,82,1.43
351,-87.74,-99.68,-75.80,1,0,10,89,5.52
352,-88.33,-99.25,-77.40,2,1,17,80,2.96
353,-80.37,-86.35,-74.40,1,0,18,81,0.86
354,-85.55,-94.09,-77.00,1,3,21,75,1.34
355,-70.30,-60.20,-80.40,1,0,27,72,0.09
356,-84.09,-89.98,-78.20,0,1,18,81,1.86
357,-86.04,-95.47,-76.60,3,2,16,79,1.07
358,-81.28,-81.37,-81.20,3,0,20,77,0.41
359,-71.67,-70.73,-72.60,1,0,23,76,0.13
360,-86.77,-98.15,-75.40,1,0,3,96,7.10
361,-80.37,-82.74,-78.00,2,3,19,76,0.00
362,-85.76,-92.72,-78.80,0,4,17,79,0.31
363,-87.44,-93.88,-81.00,1,1,17,81,0.58
364,-89.56,-96.72,-82.40,4,1,16,79,1.38
365,-73.91,-73.83,-74.00,0,2,16,82,0.08
366,-88.62,-98.23,-79.00,1,0,11,88,2.91
367,-83.74,-94.08,-73.40,5,4,16,75,0.41
368,-86.49,-96.99,-76.00,1,1,3,95,5.49
369,-87.20,-98.80,-75.60,2,2,19,77,0.61
370,-90.93,-99.46,-82.40,1,1,5,93,6.21
371,-88.48,-99.36,-77.60,0,1,11,88,1.03
372,-84.54,-95.87,-73.20,4,1,5,90,1.02
373,-85.57,-88.94,-82.20,0,3,10,87,0.17
374,-89.12,-99.23,-79.00,3,1,7,89,0.59
375,-89.34,-97.08,-81.60,3,2,2,93,2.88
376,-87.28,-99.75,-74.80,0,0,4,96,1.98
377,-89.51,-99.41,-79.60,3,5,8,84,0.85
378,-88.43,-97.26,-79.60,1,1,4,94,7.13
379,-90.81,-97.61,-84.00,0,2,6,92,3.41
380,-80.45,-82.30,-78.60,1,2,12,85,0.10
381,-76.60,-72.40,-80.80,4,0,11,85,0.09
382,-82.28,-84.75,-79.80,0,1,10,89,0.42
383,-85.67,-94.94,-76.40,3,2,8,87,3.13
384,-83.86,-89.92,-77.80,0,1,9,90,0.91
385,-85.20,-92.61,-77.80,0,0,5,95,3.30
386,-79.00,-80.61,-77.40,1,1,19,79,0.42
387,-78.90,-81.41,-76.40,0,0,15,85,0.54
388,-89.68,-95.77,-83.60,1,1,5,93,2.87
389,-83.05,-93.51,-72.60,0,2,7,91,1.23
390,-87.77,-99.75,-75.80,0,2,7,91,5.30
391,-81.43,-88.06,-74.80,2,2,18,78,0.38
392,-87.14,-96.47,-77.80,2,2,17,79,0.30
393,-85.49,-86.58,-84.40,2,0,12,86,1.40
394,-79.70,-82.60,-76.80,0,0,16,84,0.18
395,-83.65,-86.71,-80.60,1,4,16,79,0.24
396,-85.79,-98.17,-73.40,4,1,14,81,0.13
397,-89.46,-98.91,-80.00,4,2,20,74,0.35
398,-86.85,-93.89,-79.80,0,0,9,91,2.61
399,-86.79,-94.78,-78.80,2,1,10,87,1.77
400,-91.84,-97.89,-85.80,4,0,4,92,4.95
401,-76.89,-73.39,-80.40,1,1,17,81,0.23
402,-82.24,-84.09,-80.40,0,0,20,80,0.37
403,-78.85,-86.91,-70.80,2,0,21,77,0.38
404,-83.84,-88.47,-79.20,4,0,10,86,1.69
405,-81.48,-85.96,-77.00,3,2,21,74,0.07
406,-88.20,-98.39,-78.00,3,1,20,76,0.08
407,-85.63,-94.05,-77.20,4,0,20,76,0.02
408,-73.92,-70.83,-77.00,0,0,24,76,0.06
409,-79.27,-79.14,-79.40,2,1,27,70,0.01
410,-82.05,-91.50,-72.60,0,1,20,79,2.56
411,-88.89,-98.58,-79.20,0,1,17,82,2.14
412,-72.89,-70.58,-75.20,0,1,24,75,0.17
413,-83.95,-92.70,-75.20,0,2,6,92,4.15
414,-88.25,-99.49,-77.00,0,0,9,91,4.45
415,-86.96,-98.52,-75.40,0,0,12,88,3.53
416,-87.31,-96.43,-78.20,4,0,13,83,2.82
417,-88.84,-98.08,-79.60,0,0,9,91,3.46
418,-81.32,-80.64,-82.00,0,0,19,81,3.10
419,-85.90,-92.00,-79.80,0,0,13,87,1.16
420,-86.03,-90.65,-81.40,1,2,19,78,2.31
421,-79.93,-79.86,-80.00,0,1,25,74,0.21
422,-91.11,-98.82,-83.40,1,0,21,78,0.71
423,-84.20,-90.60,-77.80,1,1,20,78,2.84
424,-85.25,-92.31,-78.20,0,1,33,66,0.30
425,-87.51,-96.81,-78.20,1,0,32,67,0.40
426,-88.50,-94.79,-82.20,0,2,26,72,2.39
427,-85.58,-93.16,-78.00,0,1,17,82,4.47
428,-82.76,-84.93,-80.60,1,1,30,68,1.45
429,-81.11,-83.61,-78.60,1,0,33,66,0.63
430,-83.09,-90.98,-75.20,1,1,31,67,0.82
431,-86.65,-99.11,-74.20,0,1,24,75,4.42
432,-84.43,-90.66,-78.20,1,2,34,63,0.02
433,-83.75,-93.49,-74.00,0,0,14,86,3.28
434,-85.75,-92.70,-78.80,1,0,42,57,1.03
435,-84.33,-87.25,-81.40,0,2,31,67,1.06
436,-77.42,-74.65,-80.20,0,1,48,51,0.48
437,-87.34,-89.48,-85.20,0,0,31,69,3.42
438,-81.97,-85.35,-78.60,0,0,45,55,1.63
439,-89.28,-97.96,-80.60,0,2,17,81,4.18
440,-88.36,-98.91,-77.80,0,2,41,57,0.33
441,-82.14,-89.88,-74.40,0,0,38,62,0.91
442,-74.34,-73.28,-75.40,0,0,43,57,0.00
443,-87.01,-97.43,-76.60,0,0,26,74,3.98
444,-91.02,-99.45,-82.60,3,0,35,62,1.78
445,-87.71,-96.82,-78.60,0,0,44,56,0.01
446,-89.08,-98.77,-79.40,0,0,20,80,2.72
447,-81.60,-85.20,-78.00,0,0,45,55,0.17
448,-83.08,-86.75,-79.40,0,1,43,56,1.11
449,-88.53,-93.25,-83.80,0,0,29,71,2.18
450,-88.95,-99.90,-78.00,0,0,15,85,5.35
451,-83.66,-93.13,-74.20,1,0,19,80,1.26
452,-86.83,-96.67,-77.00,0,1,26,73,1.65
453,-86.31,-94.22,-78.40,0,1,23,76,1.00
454,-86.35,-98.91,-73.80,2,0,17,81,2.48
455,-85.80,-96.40,-75.20,0,0,10,90,2.43
456,-78.34,-81.48,-75.20,1,1,13,85,1.37
457,-86.81,-93.82,-79.80,0,0,5,95,0.95
458,-79.15,-80.30,-78.00,1,0,15,84,0.22
459,-90.77,-99.94,-81.60,0,0,5,95,3.05
460,-83.21,-89.83,-76.60,0,0,6,94,2.09
461,-77.61,-72.83,-82.40,0,1,11,88,0.03
462,-88.13,-97.87,-78.40,0,0,2,98,0.86
463,-74.44,-76.68,-72.20,0,0,5,95,0.24
464,-86.61,-97.03,-76.20,0,0,4,96,1.45
465,-89.57,-99.14,-80.00,0,0,4,96,0.92
466,-90.59,-98.39,-82.80,0,0,4,96,0.30
467,-87.21,-97.82,-76.60,0,0,2,98,1.17
468,-73.18,-69.96,-76.40,0,0,4,96,0.38
469,-84.45,-91.90,-77.00,0,0,1,99,1.74
470,-72.30,-68.99,-75.60,0,0,3,97,0.03
471,-81.48,-86.55,-76.40,0,0,2,98,2.30
472,-83.45,-89.70,-77.20,0,0,1,99,4.17
473,-88.61,-97.02,-80.20,0,0,2,98,0.42
474,-73.69,-68.39,-79.00,0,0,3,97,0.79
475,-86.28,-90.35,-82.20,0,0,1,99,0.73
476,-79.41,-76.82,-82.00,0,0,6,94,0.33
477,-78.32,-78.24,-78.40,0,0,4,96,0.27
478,-82.15,-83.71,-80.60,0,0,2,98,0.75
479,-90.28,-99.96,-80.60,0,0,2,98,4.93
